Zamówiono łącznie: -588.7370000000006
Liczba zwrotów: 319
data;godzina;zamówiono;wyprodukowano
17-01-2024;13:56:39;-1;-1
23-01-2024;15:10:00;-0.7;-0.7
23-01-2024;16:00:20;-0.4;-0.4
02-02-2024;11:58:40;-0.5;-0.5
02-02-2024;14:50:16;-1;-1
14-02-2024;07:52:17;-0.3;-0.3
14-02-2024;15:09:45;-7.8;-7.8
19-02-2024;15:07:16;-4;-4
19-02-2024;15:13:14;-0.5;-0.5
22-02-2024;09:31:56;-4;-4
22-02-2024;10:11:23;-4.5;-4.5
23-02-2024;13:16:58;-1.9;-1.9
26-02-2024;08:55:12;-0.7;-0.7
26-02-2024;13:20:51;-2;-2
26-02-2024;16:03:20;-4;-4
26-02-2024;17:32:32;-4.2;-4.2
27-02-2024;16:05:27;-6;-6
04-03-2024;16:47:35;-1.7;-1.7
04-03-2024;17:04:59;-0.7;-0.7
05-03-2024;11:54:58;-0.5;-0.5
07-03-2024;07:00:15;-2;-2
08-03-2024;13:06:12;-5;-5
11-03-2024;15:28:55;-3;-3
11-03-2024;15:38:57;-0.6;-0.6
11-03-2024;15:56:40;-2;-2
12-03-2024;06:49:46;-2;-2
13-03-2024;12:07:48;-2;-2
14-03-2024;10:22:16;-2;-2
14-03-2024;11:59:30;-0.3;-0.3
14-03-2024;13:47:14;-0.3;-0.3
15-03-2024;09:32:41;-0.3;-0.3
18-03-2024;09:58:09;-4;-4
19-03-2024;07:39:37;-0.3;-0.3
19-03-2024;11:22:43;-0.3;-0.3
19-03-2024;11:46:28;-3.3;-3.3
19-03-2024;12:14:26;-0.3;-0.3
21-03-2024;07:53:57;-0.3;-0.3
21-03-2024;08:16:04;-0.3;-0.3
21-03-2024;12:17:05;-0.3;-0.3
25-03-2024;07:33:28;-0.3;-0.3
25-03-2024;08:54:23;-0.3;-0.3
25-03-2024;14:13:51;-0.3;-0.3
25-03-2024;14:31:55;-0.3;-0.3
25-03-2024;15:11:47;-2;-2
25-03-2024;17:37:03;-2.3;-2.3
26-03-2024;11:09:52;-2.9;-2.9
27-03-2024;05:50:05;-2;-2
27-03-2024;06:58:43;-2;-2
27-03-2024;07:23:38;-0.3;-0.3
27-03-2024;08:26:18;-0.3;-0.3
27-03-2024;08:37:28;-0.3;-0.3
27-03-2024;13:20:41;-1.5;-1.5
28-03-2024;05:50:12;-2;-2
28-03-2024;06:00:31;-0.3;-0.3
28-03-2024;06:10:23;-0.3;-0.3
28-03-2024;06:52:59;-0.3;-0.3
28-03-2024;07:25:11;-8;-8
28-03-2024;07:26:42;-0.3;-0.3
28-03-2024;12:29:47;-7;-7
28-03-2024;12:32:47;-2;-2
28-03-2024;14:59:04;-2.5;-2.5
29-03-2024;10:35:43;-3.5;-3.5
02-04-2024;11:13:10;-0.3;-0.3
03-04-2024;13:14:38;-0.3;-0.3
03-04-2024;14:30:12;-1.3;-1.3
04-04-2024;09:18:41;-0.3;-0.3
08-04-2024;06:30:57;-0.3;-0.3
08-04-2024;06:42:11;-0.3;-0.3
08-04-2024;06:53:16;-0.3;-0.3
08-04-2024;07:34:30;-0.3;-0.3
08-04-2024;08:37:47;-0.3;-0.3
08-04-2024;09:00:27;-0.3;-0.3
08-04-2024;09:47:36;-0.3;-0.3
08-04-2024;10:48:17;-0.3;-0.3
08-04-2024;14:06:31;-1.4;-1.4
08-04-2024;15:43:14;-4.7;-4.7
09-04-2024;05:49:23;-0.3;-0.3
09-04-2024;05:59:48;-0.3;-0.3
09-04-2024;06:58:31;-0.3;-0.3
09-04-2024;10:26:46;-0.3;-0.3
09-04-2024;10:47:42;-0.3;-0.3
10-04-2024;06:09:39;-0.3;-0.3
10-04-2024;06:34:28;-0.3;-0.3
10-04-2024;06:55:34;-0.3;-0.3
10-04-2024;14:59:00;-0.3;-0.3
11-04-2024;06:44:05;-0.3;-0.3
11-04-2024;08:36:42;-0.3;-0.3
11-04-2024;10:38:23;-2.8;-2.8
11-04-2024;12:21:52;-0.3;-0.3
11-04-2024;13:01:00;-1;-1
11-04-2024;14:08:23;-1.2;-1.2
12-04-2024;07:33:09;-0.3;-0.3
12-04-2024;07:47:16;-0.3;-0.3
12-04-2024;07:59:52;-0.3;-0.3
12-04-2024;09:05:37;-0.3;-0.3
12-04-2024;09:41:53;-0.3;-0.3
12-04-2024;11:16:46;-0.3;-0.3
12-04-2024;14:29:28;-2;-2
12-04-2024;15:42:27;-1;-1
12-04-2024;16:59:47;-3.4;-3.4
12-04-2024;17:05:22;-0.7;-0.7
12-04-2024;17:16:07;-6;-6
15-04-2024;07:07:29;-0.3;-0.3
15-04-2024;07:43:53;-0.3;-0.3
15-04-2024;07:55:05;-0.3;-0.3
15-04-2024;08:06:45;-0.3;-0.3
15-04-2024;09:37:24;-0.3;-0.3
15-04-2024;14:39:21;-2;-2
16-04-2024;09:47:50;-0.3;-0.3
16-04-2024;10:27:37;-0.3;-0.3
17-04-2024;13:33:35;-2;-2
18-04-2024;06:42:07;-0.3;-0.3
18-04-2024;10:33:46;-0.3;-0.3
18-04-2024;14:04:21;-0.5;-0.5
18-04-2024;14:08:49;-2;-2
22-04-2024;06:13:29;-0.3;-0.3
22-04-2024;06:41:52;-0.3;-0.3
22-04-2024;08:17:02;-2;-2
23-04-2024;05:42:40;-0.3;-0.3
23-04-2024;06:12:15;-0.3;-0.3
23-04-2024;06:40:11;-0.3;-0.3
23-04-2024;07:03:00;-0.3;-0.3
23-04-2024;14:03:08;-1;-1
24-04-2024;13:38:47;-8;-8
24-04-2024;15:36:29;-3.1;-3.1
24-04-2024;15:40:15;-6.637;-6.637
25-04-2024;06:57:46;-0.3;-0.3
25-04-2024;11:26:25;-0.3;-0.3
25-04-2024;12:03:36;-2.2;-2.2
25-04-2024;16:17:40;-1.2;-1.2
25-04-2024;16:22:39;-4.6;-4.6
29-04-2024;05:42:38;-0.3;-0.3
29-04-2024;12:05:25;-3.8;-3.8
30-04-2024;06:21:20;-0.3;-0.3
30-04-2024;06:44:14;-2;-2
30-04-2024;10:57:51;-0.3;-0.3
30-04-2024;11:11:03;-0.3;-0.3
06-05-2024;07:14:06;-4;-4
06-05-2024;09:06:30;-0.3;-0.3
06-05-2024;09:14:05;-0.3;-0.3
06-05-2024;09:21:44;-0.3;-0.3
06-05-2024;09:45:17;-0.3;-0.3
06-05-2024;10:38:02;-0.3;-0.3
06-05-2024;11:13:51;-4.5;-4.5
06-05-2024;12:17:58;-0.9;-0.9
06-05-2024;12:26:00;-0.3;-0.3
06-05-2024;14:21:00;-0.3;-0.3
06-05-2024;16:05:12;-2.3;-2.3
06-05-2024;17:07:39;-6.6;-6.6
07-05-2024;06:45:38;-0.3;-0.3
07-05-2024;07:41:55;-2;-2
07-05-2024;07:57:49;-7;-7
07-05-2024;09:16:40;-0.3;-0.3
07-05-2024;09:23:58;-0.7;-0.7
08-05-2024;15:39:29;-0.9;-0.9
08-05-2024;17:19:18;-3;-3
09-05-2024;05:39:43;-0.3;-0.3
09-05-2024;05:54:15;-0.3;-0.3
09-05-2024;06:02:19;-0.3;-0.3
09-05-2024;06:10:06;-0.3;-0.3
09-05-2024;08:31:11;-0.3;-0.3
09-05-2024;09:48:28;-0.3;-0.3
09-05-2024;13:08:42;-0.3;-0.3
09-05-2024;15:56:07;-4;-4
14-05-2024;05:39:12;-0.3;-0.3
14-05-2024;06:00:04;-0.3;-0.3
16-05-2024;06:37:55;-0.3;-0.3
16-05-2024;09:21:38;-1.7;-1.7
16-05-2024;14:18:41;-2;-2
16-05-2024;14:36:12;-0.4;-0.4
21-05-2024;10:25:23;-4;-4
21-05-2024;13:30:11;-2.5;-2.5
21-05-2024;15:01:23;-0.3;-0.3
21-05-2024;16:21:05;-3.3;-3.3
22-05-2024;05:38:11;-0.3;-0.3
22-05-2024;05:57:16;-0.3;-0.3
22-05-2024;11:43:48;-0.3;-0.3
22-05-2024;11:54:06;-0.3;-0.3
22-05-2024;12:17:09;-0.3;-0.3
22-05-2024;12:59:54;-0.3;-0.3
24-05-2024;05:40:57;-0.3;-0.3
24-05-2024;05:49:11;-0.3;-0.3
24-05-2024;06:03:34;-0.3;-0.3
24-05-2024;06:31:20;-0.3;-0.3
24-05-2024;08:26:09;-0.3;-0.3
24-05-2024;10:08:10;-0.3;-0.3
27-05-2024;10:54:48;-2;-2
27-05-2024;12:19:23;-2;-2
27-05-2024;13:35:45;-8;-8
28-05-2024;10:27:21;-0.3;-0.3
29-05-2024;11:04:45;-0.3;-0.3
29-05-2024;11:15:42;-0.3;-0.3
29-05-2024;11:36:59;-0.3;-0.3
31-05-2024;08:00:35;-6;-6
31-05-2024;13:00:00;-1.3;-1.3
03-06-2024;10:20:45;-3;-3
03-06-2024;14:52:20;-2;-2
03-06-2024;15:36:56;-2;-2
05-06-2024;12:02:38;-5.9;-5.9
05-06-2024;12:04:44;-2;-2
05-06-2024;15:41:30;-7;-7
06-06-2024;05:47:38;-0.3;-0.3
06-06-2024;06:08:31;-0.3;-0.3
06-06-2024;13:13:34;-0.3;-0.3
06-06-2024;14:33:49;-8;-8
07-06-2024;12:18:05;-1.1;-1.1
10-06-2024;06:05:23;-4.4;-4.4
10-06-2024;16:32:42;-5.6;-5.6
13-06-2024;05:39:31;-2;-2
13-06-2024;05:47:49;-0.3;-0.3
13-06-2024;05:56:37;-0.3;-0.3
13-06-2024;06:07:33;-0.3;-0.3
13-06-2024;06:23:44;-0.3;-0.3
13-06-2024;06:42:24;-0.3;-0.3
13-06-2024;06:52:07;-0.3;-0.3
14-06-2024;09:08:03;-7;-7
14-06-2024;09:44:18;-5.7;-5.7
14-06-2024;09:53:27;-4.4;-4.4
14-06-2024;09:56:09;-4.5;-4.5
14-06-2024;10:27:31;-2;-2
14-06-2024;11:21:47;-1.3;-1.3
14-06-2024;13:21:26;-2;-2
18-06-2024;09:08:34;-4;-4
21-06-2024;10:26:47;-2.3;-2.3
26-06-2024;12:34:45;-1.5;-1.5
26-06-2024;15:21:38;-4;-4
26-06-2024;16:26:09;-2;-2
26-06-2024;17:24:52;-1.4;-1.4
27-06-2024;08:18:03;-6;-6
27-06-2024;09:55:56;-4;-4
27-06-2024;10:20:44;-6.7;-6.7
27-06-2024;12:44:28;-1.4;-1.4
27-06-2024;12:53:47;-1.9;-1.9
27-06-2024;13:15:07;-0.5;-0.5
27-06-2024;14:30:12;-0.4;-0.4
27-06-2024;15:46:53;-1;-1
27-06-2024;16:22:52;-0.4;-0.4
04-07-2024;13:41:36;-2.2;-2.2
04-07-2024;16:06:14;-1.2;-1.2
08-07-2024;11:09:57;-2;-2
08-07-2024;11:57:25;-1.8;-1.8
18-07-2024;09:00:58;-6;-6
18-07-2024;10:32:51;-6;-6
25-07-2024;16:57:49;-1.1;-1.1
26-07-2024;12:21:19;-4;-4
30-07-2024;11:26:33;-7;-7
30-07-2024;13:09:13;-1;-1
30-07-2024;13:29:29;-1;-1
30-07-2024;13:48:38;-1;-1
02-08-2024;08:15:15;-0.3;-0.3
05-08-2024;09:55:34;-2;-2
05-08-2024;10:08:04;-0.5;-0.5
05-08-2024;10:16:33;-0.5;-0.5
05-08-2024;13:02:01;-2;-2
08-08-2024;08:29:35;-8;-8
08-08-2024;11:08:39;-6.5;-6.5
08-08-2024;13:09:06;-2;-2
08-08-2024;14:12:45;-6;-6
08-08-2024;15:24:02;-6.3;-6.3
08-08-2024;15:56:28;-0.9;-0.9
09-08-2024;12:30:53;-0.7;-0.7
12-08-2024;13:25:44;-0.4;-0.4
12-08-2024;13:45:27;-1.5;-1.5
12-08-2024;15:59:24;-1.5;-1.5
13-08-2024;19:12:43;-0.8;-0.8
14-08-2024;10:35:57;-0.3;-0.3
14-08-2024;11:10:47;-0.6;-0.6
14-08-2024;12:20:01;-3;-3
19-08-2024;11:20:04;-1.5;-1.5
19-08-2024;14:15:54;-6.6;-6.6
20-08-2024;09:58:26;-1;-1
20-08-2024;10:07:02;-1;-1
20-08-2024;12:30:10;-6;-6
20-08-2024;12:32:15;-2;-2
20-08-2024;12:41:23;-0.3;-0.3
20-08-2024;12:52:42;-0.3;-0.3
20-08-2024;13:03:50;-1.5;-1.5
20-08-2024;15:31:13;-2.7;-2.7
20-08-2024;16:13:51;-0.8;-0.8
23-08-2024;06:14:05;-0.5;-0.5
23-08-2024;08:18:07;-0.5;-0.5
23-08-2024;09:49:17;-1;-1
23-08-2024;09:57:04;-1;-1
23-08-2024;10:05:17;-1;-1
23-08-2024;10:32:32;-0.3;-0.3
26-08-2024;14:22:30;-1.2;-1.2
27-08-2024;09:07:53;-5.4;-5.4
27-08-2024;09:24:40;-1;-1
27-08-2024;09:39:58;-1;-1
27-08-2024;09:56:26;-7;-7
27-08-2024;10:04:22;-2;-2
27-08-2024;10:41:57;-7;-7
27-08-2024;10:46:07;-2;-2
27-08-2024;11:15:18;-8;-8
27-08-2024;12:59:56;-4.9;-4.9
28-08-2024;11:53:49;-1;-1
28-08-2024;14:00:56;-0.6;-0.6
28-08-2024;14:49:36;-0.8;-0.8
28-08-2024;16:26:13;-7.5;-7.5
29-08-2024;08:18:41;-8;-8
29-08-2024;08:21:11;-9;-9
29-08-2024;10:21:22;-0.3;-0.3
29-08-2024;11:02:40;-5.3;-5.3
29-08-2024;12:38:51;-1.5;-1.5
29-08-2024;14:36:09;-2;-2
30-08-2024;09:51:49;-0.5;-0.5
30-08-2024;11:56:57;-2.9;-2.9
02-09-2024;09:56:28;-1;-1
02-09-2024;11:50:14;-1;-1
02-09-2024;12:30:23;-0.6;-0.6
02-09-2024;14:19:38;-0.9;-0.9
02-09-2024;14:44:07;-2.2;-2.2
02-09-2024;15:04:35;-0.2;-0.2
03-09-2024;10:44:36;-4;-4
03-09-2024;11:05:47;-0.3;-0.3
03-09-2024;11:16:59;-0.5;-0.5
03-09-2024;13:53:50;-0.2;-0.2
04-09-2024;14:33:51;-0.5;-0.5
05-09-2024;16:25:51;-4.8;-4.8
