data;surowiec nazwa;surowiec receptura;surowiec wyprodukowany
05-01-2024;CEM II 42.5 BS;300;300
05-01-2024;CEM II/BS 42.5;1100;1101
05-01-2024;0-2;7250;7575
05-01-2024;ZM;17.5;17.55
05-01-2024;woda czysta;650;300
17-01-2024;CEM II 42.5 BS;60;60
17-01-2024;CEM II/BS 42.5;220;222
17-01-2024;0-2;1450;1500
17-01-2024;ZM;3.5;3.55
17-01-2024;woda czysta;130;59
17-01-2024;CEM II 42.5 BS;210;210
17-01-2024;CEM II/BS 42.5;770;772
17-01-2024;0-2;5075;5210
17-01-2024;ZM;12.25;12.25
17-01-2024;woda czysta;455;0
17-01-2024;CEM II 42.5 BS;180;179
17-01-2024;CEM II/BS 42.5;660;659
17-01-2024;0-2;4350;4450
17-01-2024;ZM;10.5;10.35
17-01-2024;woda czysta;390;0
17-01-2024;CEM II 42.5 BS;180;180
17-01-2024;CEM II/BS 42.5;660;660
17-01-2024;0-2;4350;4460
17-01-2024;ZM;10.5;10.45
17-01-2024;woda czysta;390;71
17-01-2024;POPIÓŁ LOTNY;640;639
17-01-2024;CEM II 42.5 BS;600;599
17-01-2024;0-2;12800;13290
17-01-2024;woda czysta;560;101
17-01-2024;POPIÓŁ LOTNY;440;440
17-01-2024;CEM II 42.5 BS;1680;1678
17-01-2024;CEM II/BS 42.5;400;399
17-01-2024;8-16;6080;6120
17-01-2024;2-8;2400;2370
17-01-2024;0-2;6160;6330
17-01-2024;POLIMER;16;16.05
17-01-2024;woda czysta;1200;651
17-01-2024;POPIÓŁ LOTNY;412.5;412
17-01-2024;CEM II 42.5 BS;975;977
17-01-2024;CEM II/BS 42.5;600;599
17-01-2024;8-16;5700;5675
17-01-2024;2-8;2700;2715
17-01-2024;0-2;5475;5650
17-01-2024;POLIMER;6;5.95
17-01-2024;woda czysta;1200;616
17-01-2024;POPIÓŁ LOTNY;55;54
17-01-2024;CEM II 42.5 BS;210;213
17-01-2024;CEM II/BS 42.5;50;50
17-01-2024;8-16;760;795
17-01-2024;2-8;300;310
17-01-2024;0-2;770;775
17-01-2024;POLIMER;2;2
17-01-2024;woda czysta;150;29
17-01-2024;POPIÓŁ LOTNY;390.5;390
17-01-2024;CEM II 42.5 BS;1491;1495
17-01-2024;CEM II/BS 42.5;355;356
17-01-2024;8-16;5751;5740
17-01-2024;2-8;2130;2190
17-01-2024;0-2;5254;5355
17-01-2024;POLIMER;14.2;14.1
17-01-2024;woda czysta;1065;505
17-01-2024;POPIÓŁ LOTNY;490;491
17-01-2024;CEM II 42.5 BS;630;628
17-01-2024;CEM II/BS 42.5;385;383
17-01-2024;8-16;5670;5670
17-01-2024;2-8;2205;2255
17-01-2024;0-2;5145;5310
17-01-2024;POLIMER;9.1;9.1
